Ticker,Daily Return,Beta,Annual Volatility,Agglomerative Cluster,KMeans Cluster,KMeans Cluster Label
EVRG,0.00011403374238036383,0.44871666896980716,0.20275972137163953,0,0,Defensive / Lower Risk
EW,-0.0004415104845706474,0.9490001221901242,0.36832970169404483,0,2,Balanced / Moderate Risk
EXC,0.0001346966567900658,0.459142881999202,0.21904986173654936,0,0,Defensive / Lower Risk
EXE,0.0010230027918262535,0.7653192713344263,0.35576732918980064,0,0,Defensive / Lower Risk
EXPD,-4.793070558592121e-05,0.8162417479225859,0.25135331859925636,0,0,Defensive / Lower Risk
EXPE,0.0004065874126541414,1.3586585606261148,0.44476883984971555,1,2,Balanced / Moderate Risk
EXR,-0.00016400230557558196,0.8865889816072882,0.305695846251195,0,2,Balanced / Moderate Risk
F,-0.0004510338884839515,1.3713362703322916,0.40563156212111345,1,2,Balanced / Moderate Risk
FANG,0.000978906812307926,0.7137873792575632,0.35839687862582825,0,0,Defensive / Lower Risk
FAST,0.0004216911983551999,0.8719372804749745,0.2467138528779668,0,0,Defensive / Lower Risk
FCX,0.00029849032622591813,1.3469743945856993,0.42268637017670946,1,2,Balanced / Moderate Risk
FDS,0.00016169384363703314,0.7938366702025823,0.23946892361791677,0,0,Defensive / Lower Risk
FDX,0.00042946784724201103,0.9454696145449742,0.3410379921614164,0,2,Balanced / Moderate Risk
FE,0.0001928576306520646,0.43178879300855055,0.1976851259727774,0,0,Defensive / Lower Risk
FFIV,0.00021350602004749112,1.1022566669808707,0.28938956552266526,0,2,Balanced / Moderate Risk
FICO,0.0022668718533206175,1.2480462201359832,0.3746982315207208,1,1,Aggressive / Higher Risk
FIS,-0.00010051272015084174,1.0143117446711865,0.3486233701892166,0,2,Balanced / Moderate Risk
FISV,0.0009725309820480076,0.8903202962769422,0.2383078108016412,0,0,Defensive / Lower Risk
FITB,0.0003167979587841192,1.1345598166324111,0.339046875841829,0,2,Balanced / Moderate Risk
FIX,0.002263761278122027,1.2159693409149128,0.3883321202042465,1,1,Aggressive / Higher Risk
FOX,0.0005456288630652458,0.6855335499543516,0.2523687832644957,0,0,Defensive / Lower Risk
FOXA,0.0005316956375383373,0.671318931211614,0.26008911375790167,0,0,Defensive / Lower Risk
FRT,1.93243169116892e-06,0.8100639981421714,0.23739588412992482,0,0,Defensive / Lower Risk
FSLR,0.0014541907043624247,1.0553355411573333,0.5283668502452736,1,1,Aggressive / Higher Risk
FTNT,0.0008723853654652159,1.3697675302802272,0.44951048338613003,1,1,Aggressive / Higher Risk
FTV,0.00016547421023073674,1.032551595783382,0.24836041820120386,0,0,Defensive / Lower Risk
GD,0.0004840778649561382,0.5622111679964001,0.19961466020105373,0,0,Defensive / Lower Risk
GDDY,0.001304733099208816,1.0515788154742132,0.29846167243883304,0,0,Defensive / Lower Risk
GE,0.0015617543739721456,1.0273777193651223,0.30247927259940777,0,0,Defensive / Lower Risk
GEN,0.00034252416971676053,0.7510693548805975,0.3192735943159525,0,0,Defensive / Lower Risk
GILD,0.0005931591333856921,0.44947718640152146,0.23583324564335326,0,0,Defensive / Lower Risk
GIS,0.0001327640303249558,0.13324885509858211,0.198433071916402,0,0,Defensive / Lower Risk
GL,0.0007013360026968464,0.5940554596306343,0.41683462567369495,0,0,Defensive / Lower Risk
GLW,0.0005983060131198339,0.948474458472355,0.2729794130614574,0,0,Defensive / Lower Risk
GM,0.00011895885146169723,1.276012638452518,0.36854411280989674,0,2,Balanced / Moderate Risk
GNRC,-0.0004513723869177354,1.8475703510465333,0.5545900495512087,1,2,Balanced / Moderate Risk
GOOG,0.000579519743336758,1.3375243779979804,0.327620622078794,1,2,Balanced / Moderate Risk
GOOGL,0.0005719991696560013,1.3355992699653243,0.3274407535545088,1,2,Balanced / Moderate Risk
GPC,3.500269626210013e-05,0.7284113568496923,0.27174573460240464,0,0,Defensive / Lower Risk
GPN,-5.211005254563762e-05,1.1631464679450811,0.33547129485441596,0,2,Balanced / Moderate Risk
GRMN,0.0008406969455716821,0.912898052527893,0.29288968950504357,0,0,Defensive / Lower Risk
GS,0.0007395344451411475,1.008670412925624,0.26526414469016835,0,0,Defensive / Lower Risk
GWW,0.0011341490612927795,0.8146122048709725,0.25439309086517997,0,0,Defensive / Lower Risk
HAL,0.0005468455613354225,0.8236559275791725,0.3951820040607216,0,2,Balanced / Moderate Risk
HAS,-0.00041067442947677807,0.8990289424986132,0.32933095007425395,0,2,Balanced / Moderate Risk
HBAN,0.00044502845772576564,1.0413924774210266,0.32810255571395913,0,2,Balanced / Moderate Risk
HCA,0.0004493180335253475,0.8474289260029736,0.3066626215258989,0,0,Defensive / Lower Risk
HD,0.00015953605480320397,0.9235387633453924,0.24904255980763632,0,0,Defensive / Lower Risk
HIG,0.0007904611688648312,0.6922210413532455,0.22699648933762331,0,0,Defensive / Lower Risk
HII,0.0002804685815572861,0.5683520785789553,0.28511114145756644,0,0,Defensive / Lower Risk
HLT,0.0007844902899780342,1.0534442113311424,0.2710863980967904,0,0,Defensive / Lower Risk
HON,0.0002865676009445977,0.7714792397457043,0.20650360039393106,0,0,Defensive / Lower Risk
HOOD,0.0017684602613867817,1.9848279564216902,0.6517594922190679,1,1,Aggressive / Higher Risk
HPE,0.0007214284766776437,1.1210483089306362,0.34181118444933606,1,2,Balanced / Moderate Risk
HPQ,0.00015604805171661674,1.1435925926888344,0.3387824313835231,0,2,Balanced / Moderate Risk
HRL,-0.0003760315739141726,0.23660775243755,0.23260305355209726,0,0,Defensive / Lower Risk
HSIC,-2.5727876980214722e-05,0.6037438464227017,0.2499198214540694,0,0,Defensive / Lower Risk
HST,0.0003557653578338722,1.1114554336179363,0.30911581640189995,0,2,Balanced / Moderate Risk
HSY,2.950832047299349e-06,0.2717954795726911,0.21290530221837325,0,0,Defensive / Lower Risk
HUBB,0.001184431467273927,0.970792266519675,0.2928911024358059,0,0,Defensive / Lower Risk
HUM,-0.0005328894917612333,0.408352840076114,0.3417597862333173,0,0,Defensive / Lower Risk
HWM,0.0018174721534847387,1.0925727916638304,0.3060030575610878,0,0,Defensive / Lower Risk
IBKR,0.0012889865121227873,0.8700948483451809,0.3044411476033202,0,0,Defensive / Lower Risk
IBM,0.0009044754877692362,0.5742066691540638,0.21317715147506805,0,0,Defensive / Lower Risk
ICE,0.0002896767528324163,0.7605878783215423,0.21543040111732323,0,0,Defensive / Lower Risk
IDXX,-0.00033003546353246546,1.2693637030766651,0.34244354931517834,0,2,Balanced / Moderate Risk
IEX,2.0592044528592377e-05,0.8197878963548489,0.2264685005477931,0,0,Defensive / Lower Risk
IFF,-0.00041653757071547035,0.900787382749006,0.32724748287012745,0,2,Balanced / Moderate Risk
INCY,5.461490734267392e-05,0.5178184564297522,0.27185530005654196,0,0,Defensive / Lower Risk
INTC,-0.0008166701882655201,1.3984878365505666,0.4321861358784773,1,2,Balanced / Moderate Risk
INTU,0.00028167366002284256,1.574164186819319,0.36323506063785355,1,2,Balanced / Moderate Risk
INVH,-0.00020332116542418597,0.8408544198520022,0.24799052324479534,0,0,Defensive / Lower Risk
IP,0.0005415461706808692,0.732735817303982,0.29362381502382856,0,0,Defensive / Lower Risk
IQV,-0.00024801599916066146,1.1925519124441621,0.31216426263254526,0,2,Balanced / Moderate Risk
IR,0.0007229967539174936,1.159972464943445,0.286974347804828,0,0,Defensive / Lower Risk
IRM,0.001275661943336228,0.9165151761170194,0.28712253420212763,0,0,Defensive / Lower Risk
ISRG,0.0007238859446563573,1.301603088007438,0.3405115794385899,1,2,Balanced / Moderate Risk
IT,0.0007041797965769302,1.1045069843845503,0.2854618841616871,0,0,Defensive / Lower Risk
ITW,0.00023516981648529035,0.8231117126772737,0.210593068170612,0,0,Defensive / Lower Risk
IVZ,5.572627910531395e-05,1.419706199560565,0.35776881406856087,1,2,Balanced / Moderate Risk
J,0.00033206028392793245,0.872496736446706,0.24444998181111283,0,0,Defensive / Lower Risk
JBHT,-1.6668368262127177e-05,0.9375356057578699,0.29213651938427726,0,2,Balanced / Moderate Risk
JBL,0.0012353767540997664,1.226630058646967,0.36967204076630317,1,2,Balanced / Moderate Risk
JCI,0.0002455022843248851,1.0407183352076739,0.28169647489324356,0,2,Balanced / Moderate Risk
JKHY,0.0001888822774050645,0.6406420640232053,0.23513470510154094,0,0,Defensive / Lower Risk
JNJ,-5.8334427744862744e-05,0.2466103424859076,0.16375891258693256,0,0,Defensive / Lower Risk
JPM,0.0007587550090913901,0.866934994285647,0.2499129613086918,0,0,Defensive / Lower Risk
KDP,-1.177916471695804e-05,0.376477069903816,0.1886897824532969,0,0,Defensive / Lower Risk
KEY,0.00016339239274469576,1.2691596118014015,0.431244378531113,1,2,Balanced / Moderate Risk
KEYS,-0.00011430014836757025,1.207949019303524,0.31264391605280095,0,2,Balanced / Moderate Risk
KHC,4.887158325586601e-05,0.24974002569112835,0.2109514653497132,0,0,Defensive / Lower Risk
KIM,0.00025839225721264834,0.929847635455369,0.2682408772692695,0,0,Defensive / Lower Risk
KKR,0.0012562261019802364,1.6535736191108896,0.3815989445013784,1,1,Aggressive / Higher Risk
KLAC,0.0008969259817289369,1.7582207493981277,0.4247213938405671,1,1,Aggressive / Higher Risk
KMB,0.00010220251288244171,0.2910214864305124,0.18561370236993754,0,0,Defensive / Lower Risk
KMI,0.0010229288877463029,0.6030848288793095,0.2154117704718753,0,0,Defensive / Lower Risk
